product1,product2,product3,product4,choice
60,100,109.23076923076923,130,2
60,100,106.44444444444444,130,2
60,100,104.28571428571429,130,4
65,110,118.36065573770492,140,3
60,100,110,130,1
65,110,115.71428571428571,140,1
65,110,115.17241379310344,140,1
60,100,104.61538461538461,130,1
60,100,108.82352941176471,130,1
65,110,110,140,1
65,110,118.03571428571429,140,1
65,110,110,140,1
60,100,105.88235294117646,130,4
60,100,107.5,130,1
65,110,113.75,140,1
65,110,111.875,140,1
60,100,105,130,2
60,100,105.29411764705883,130,4
60,100,102.90322580645162,130,4
60,100,80,130,2
60,100,108.69565217391305,130,1
65,110,119.42857142857143,140,3
60,100,102.3076923076923,130,1
60,100,107.2,130,1
65,110,114.28571428571429,140,1
60,100,107.5,130,2
60,100,104.18604651162791,130,4
60,100,107.3170731707317,130,2
65,110,114.5,140,1
60,100,107.5,130,1
60,100,108.18181818181819,130,2
60,100,112.22222222222223,130,2
65,110,110,140,1
60,100,105,130,1
60,100,110.95238095238095,130,1
65,110,121.66666666666667,140,1
65,110,114.39024390243902,140,1
60,100,108.33333333333333,130,1
60,100,112,130,2
60,100,106.36363636363636,130,3
60,100,103.52941176470588,130,4
65,110,114.61538461538461,140,2
60,100,103.63636363636364,130,1
65,110,113.38028169014085,140,4
65,110,116.81818181818181,140,3
60,100,100.8695652173913,130,1
65,110,111.36363636363636,140,2
60,100,98.75,70,1
60,100,103.75,130,3
60,99.56521739130434,111.53846153846153,130,1
60,100,108.18181818181819,130,1
65,110,118.64406779661017,140,1
60,100,103.21428571428571,130,1
65,110,113.91304347826087,140,1
60,100,110.3125,130,1
65,110,117.05882352941177,140,1
60,100,109.54545454545455,130,1
60,100,107.5,130,3
60,100,104.61538461538461,130,4
60,100,106.6,130,1
65,110,117.95918367346938,140,1
60,100,102.72727272727273,130,2
65,110,114.375,140,3
65,110,124.11764705882354,140,2
65,110,116.95652173913044,140,3
60,100,101.66666666666667,130,2
60,100,103.33333333333333,130,1
65,110,115.4,140,3
60,100,101.05263157894737,130,2
65,110,116,140,1
