day,grape_juice,cantalop_juice,apple_juice
1,0,10,96
2,3,10,92
3,1,9,84
4,2,10,113
5,1,10,65
6,3,10,95
7,2,9,81
8,2,9,97
9,1,11,93
10,3,10,109
11,3,10,111
12,1,10,64
21,3,10,89
22,1,9,114
23,2,11,117
24,3,9,111
25,2,10,125
26,0,11,67
27,2,10,52
28,1,10,105
29,2,11,70
30,0,9,94
31,5,10,127
32,1,10,69
33,3,8,94
34,1,10,93
35,0,10,111
36,1,9,157
37,1,11,84
38,2,10,91
39,4,10,91
40,0,10,77
41,3,9,109
42,3,9,79
43,3,11,121
44,2,9,97
45,2,9,99
46,3,10,90
47,1,10,98
48,3,10,73
49,0,11,89
50,4,9,105
51,1,10,78
52,1,9,109
53,1,10,100
54,1,10,107
55,1,9,123
56,1,10,101
57,2,10,129
58,2,10,93
59,3,8,90
60,0,9,79
61,2,9,92
62,2,10,107
63,5,9,119
64,3,10,68
65,0,11,86
66,3,10,80
67,2,10,94
68,1,11,90
69,1,10,93
70,3,10,104
71,2,9,123
72,0,9,135
73,2,10,121
74,1,10,100
75,1,12,96
76,3,10,84
77,1,10,107
78,1,9,125
79,2,10,103
80,1,9,99
81,2,9,69
82,1,9,103
83,1,8,129
84,1,10,100
85,2,9,163
86,1,10,72
87,3,10,98
88,1,10,129
89,2,10,98
90,3,9,102
91,0,9,102
92,1,10,65
93,4,7,124
94,0,10,133
95,1,10,109
96,2,9,93
97,1,9,73
98,2,11,110
99,3,10,111
100,0,9,116
101,0,10,53
102,4,8,91
103,2,11,133
104,2,9,86
105,1,11,107
106,3,11,111
107,1,10,77
108,2,11,136
109,3,9,79
110,2,9,86
111,4,10,136
112,0,10,82
113,2,10,127
114,0,10,124
115,1,10,139
116,2,9,96
117,4,9,90
118,1,9,98
119,2,9,97
120,2,10,85
121,3,10,103
122,1,9,128
123,4,10,59
124,1,9,112
125,2,9,122
126,1,9,95
127,0,8,94
128,2,10,116
129,1,9,95
130,3,10,108
131,5,10,82
132,0,11,78
133,1,9,136
134,3,9,86
135,3,11,47
136,2,11,106
137,1,10,105
138,2,9,121
139,1,9,166
140,2,10,123
141,1,10,105
142,0,11,111
143,2,10,97
144,9,10,47
145,1,8,103
146,2,9,114
147,3,11,90
148,2,10,95
149,3,11,114
150,3,9,137
151,0,11,86
152,2,9,99
153,1,10,101
154,1,8,88
155,1,10,114
156,7,10,107
157,1,11,92
158,3,10,77
159,4,9,141
160,2,10,106
161,1,10,98
162,1,11,135
163,7,10,81
164,2,9,90
165,5,10,111
166,0,11,98
167,4,10,121
168,3,10,93
169,1,9,118
170,4,10,66
171,4,9,98
172,1,9,104
173,4,9,100
174,4,11,79
175,2,8,92
176,3,10,77
177,3,10,113
178,1,9,104
179,4,9,58
180,1,10,112
181,2,10,93
182,2,10,105
183,4,10,82
184,1,10,86
185,3,10,121
186,1,10,104
187,1,11,97
188,1,11,109
189,2,10,108
190,2,10,68
191,0,10,100
192,4,10,106
193,1,8,69
194,5,11,99
195,1,10,144
196,3,10,95
197,2,9,89
198,1,10,92
199,2,9,121
200,4,10,90
201,4,9,85
202,2,10,119
203,1,11,123
204,2,10,95
205,2,9,106
206,3,9,112
207,2,11,161
208,3,10,110
209,1,10,107
210,1,11,74
211,2,11,101
212,3,10,108
213,3,10,125
214,2,10,106
215,0,10,86
216,3,10,60
217,3,11,116
218,2,10,92
219,1,9,105
220,0,9,129
221,5,8,98
222,2,10,128
223,3,9,123
224,1,10,134
225,2,10,103
226,0,9,93
227,3,11,96
228,0,9,116
229,2,11,84
230,3,10,80
231,7,10,104
232,2,10,73
233,4,10,107
234,1,10,112
235,1,10,62
236,0,10,78
237,0,10,91
238,2,11,120
239,4,11,96
240,0,11,105
241,1,10,92
242,0,10,131
243,5,10,120
244,3,10,120
245,2,9,94
246,2,10,101
247,1,10,134
248,0,10,88
249,3,9,142
250,3,10,123
251,1,7,118
252,0,9,121
253,4,9,119
254,1,9,121
255,2,9,104
256,0,10,115
257,3,9,111
258,3,8,115
259,4,10,119
260,2,10,119
261,0,10,119
262,2,10,99
263,1,9,105
264,1,10,125
265,3,10,100
266,4,10,91
267,4,8,85
268,2,9,98
269,3,11,91
270,2,8,109
271,3,10,100
272,3,10,93
273,2,9,110
274,1,11,126
275,2,10,119
276,4,9,98
277,1,9,73
278,1,10,67
279,0,10,112
280,2,10,77
281,1,10,81
282,0,9,93
283,3,7,86
284,0,11,87
285,1,11,124
286,1,11,120
287,2,10,92
288,3,10,71
289,1,10,141
290,1,10,100
291,1,9,68
292,0,11,63
293,3,11,92
294,1,10,90
295,7,10,79
296,5,9,116
297,3,10,96
298,1,9,102
299,2,10,62
300,2,10,128
301,3,10,63
302,3,10,97
303,2,10,73
304,4,10,95
305,2,10,106
306,1,9,113
307,1,11,126
308,0,10,119
309,2,9,124
310,2,10,100
311,0,10,91
312,3,9,112
313,2,10,89
314,3,10,91
315,4,10,119
316,0,10,123
317,2,10,106
318,1,9,103
319,4,10,109
320,5,9,130
321,3,9,125
322,2,8,100
323,4,10,74
324,1,7,74
325,1,9,98
326,2,11,95
327,1,9,84
328,3,10,74
329,3,10,99
330,2,10,67
331,1,9,92
332,1,9,112
333,2,10,84
334,0,7,131
335,1,10,119
336,0,10,84
337,2,10,88
338,0,11,77
339,0,11,88
340,1,10,85
341,0,11,92
